search_instance_id,search_public_ipv4,search_private_ipv4,Name,DevopsHandle,DevopsHandle	,Environment,Project,Schedule,aws:autoscaling:groupName,aws:ec2:fleet-id,aws:ec2launchtemplate:id,aws:ec2launchtemplate:version,stage
i-0034a3da12d4d3e93,3.141.207.228,172.31.0.22,uniq-sale-system-dev,,,dev,,working-time-07To22MonToFri,,,,,started
i-06dcf26d31bcae96d,3.130.116.56,172.31.0.234,ftl-dev,,,,,stopafter622023,,,,,started
i-01d2f621cff1afa7d,18.190.44.42,172.31.0.224,acl-rental2-coresystem-dev,,,dev,,working-time-07To22MonToFri,,,,,started
i-0702ff75c9f7b986a,3.130.111.2,172.31.0.201,acl-cas-dev,,,dev,,,,,,,started
i-04c31439b05a1c0ba,3.134.224.236,172.31.0.206,acl-crm-dev,,,dev,,,,,,,started
i-021f8ea498eaa0005,3.141.219.215,172.31.0.111,tsu-tsukuba-dev,hoangld,,dev,tsu,working-time-07To22MonToFri,,,,,started
i-0187e188a013e0ad6,3.130.29.66,172.31.3.47,nat-instance,,,,,working-time-07To22MonToFri,,,,,started
i-0836c6374eeb0c87b,3.13.67.126,172.31.30.224,nals-jenkins,,,,nals-jenkins,,,,,,stopped
i-0088e1a0c905da298,18.218.233.106,172.31.25.27,cia-dev,thanhhc,,,cia,working-time-07To22MonToFri,,,,,started
i-05c23f5a676a72688,3.18.234.193,172.31.25.219,rec-dev,thanhhc,,,rec,working-time-07To22MonToFri,,,,,started
i-0da26e48f761b0f1a,13.59.241.112,172.31.0.97,dta-ruby-dev,thanhhc,,dev,dta,working-time-07To22MonToFri,,,,,started
i-0063eb04e18e6084f,3.134.238.4,172.31.35.150,ouchi-select-dev,,,,,working-time-07To22MonToFri,,,,,started
i-0fda3442a7618eae0,3.19.224.120,172.31.36.38,ect-dev,thanhhc,,,ect,working-time-07To22MonToFri,,,,,started
i-055a88985e16188cb,3.23.254.28,172.31.32.43,link-oem-dev,,,,,,,,,,started
i-0837232647243754d,3.142.18.88,172.31.32.213,itd-dev(kiw),thanhhc,,,kiw,working-time-07To22MonToFri,,,,,started
i-00e327eab58ef9138,3.18.15.167,172.31.16.154,ecr-dev,,,,,,,,,,started
i-0ba8e4a77877a78ea,18.116.236.64,172.31.17.126,fap-mynavi-facepeer-dev,hoangld,,dev,fap,working-time-07To22MonToFri,,,,,started
i-00b10bf1e0527c861,,172.31.40.93,nals-filevault,,,,,,,,,,started
i-0fb4de375cd1e3194,3.17.201.31,172.31.42.249,kta-dev,thanhhc,,,kta,,,,,,started
i-044b6a2c30a70e886,3.18.27.45,172.31.28.196,dta-admin-dev,thanhhc,,,dta,working-time-07To22MonToFri,,,,,started
i-099f8f39583259994,3.12.194.249,172.31.0.130,srb-web-dev,hoangld,,dev,srb,working-time-07To22MonToFri,,,,,started
i-0340bea4f01131163,3.16.59.140,172.31.0.107,utc-web-dev,Trungpt,,dev,utc,working-time-07To22MonToFri,,,,,started
i-09a025a3e39de5cc4,3.138.163.117,172.31.0.125,asn-shinyoyaku-dev,,,dev,,working-time-07To22MonToFri,,,,,started
i-06bab34d6e5a1ed2e,3.16.210.181,172.31.0.229,oxl-dev-onzalinx-logistic,hoangld,,dev,oxl,working-time-07To22MonToFri,,,,,started
i-0a93ec84f73c3c73b,3.133.238.247,172.31.0.158,akr-asua-rental1-dev,,,dev,,,,,,,started
i-07a4690dea8bd96ed,3.135.83.183,172.31.0.8,amw-asua-maebarai-web-dev,thanhhc,,dev,amw,PM-request-247,,,,,started
i-0e70d9ffb129903ef,3.14.96.138,172.31.56.149,rsip-stag-bastion,,,stag,rsip,,,,,,
i-04f0173f3e365efe5,18.118.98.56,172.31.0.151,smt-dev,hoangld,,dev,smt,working-time-07To22MonToFri,,,,,started
i-0048e237584a3b935,3.19.48.75,172.31.0.145,test-bot-bo,,,dev,,working-time-07To22MonToFri,,,,,started
